nothing,bug,vcl
,"panic: leveldb/table: corruption on data-block (pos=1159571): checksum mismatch, want=0x5484f308 got=0x73091003 [file=008932.ldb]",
,Read-only is confusing,
,Dangling symlink prevents filesystem watcher on Solaris,
,Feature request: RUNONSTART and RUNONEXIT startup parameters,
,conflict resolution - oldest wins?!?,
,No UPnP device detected ...,
,Calendar / Contact sync,
,Crash on folder removal,
,Failure to detect renames/moves causes data loss,
,Syncthing has stopped with an panic error.,
,Add pagination to Out of sync list,
,Add UI for filesystem watcher,
,panic: Incorrect number of slots,
,Incorrect and inconsistent information in the GUI,
,Open Browser after automatic update?,
,feature request: tooltips for folder paths in folder preferenes (WebGUI),
,TestRequestRemoteRenameChanged is racy/flaky,
,"Send ""Share requests"" between nodes?",
,Disallow building with unsupported compilers,
,Feature Request; new end point at REST interface for number of file types for statistics purposes.,
,building issue,
,some Panics most since the new version,
,Unable to grant write permissions after upgrade to Android 11,
,Documentation for OSX?,
,upgrades.syncthing.net: API rate limit exceeded,
,New install using repository on network share never starts initial sync,
,Add overview of lately synced files,
,Autoupdate not working on ARM,
,Unefficient scanning of multi-level folders,
,Should clean out generated testdata in lib/model/testdata,
,Folder's default min-size is overriding global min-size,
,Staggered file versioning: folders not deleted after maximum age,
,GUI JS error on when downloading files,
,I need iOS APP for syncthing,
,file modified but not rescanned; will try again later,
,apt.syncthing.net lists unavailable version,
,Syncthing supports RC4?,
,Typo in Panic Message,
,Auto Accept not working?,
,Syncthing shows the wrong GUI address at startup,
,"Normal node aware that a folder has been (manually) deleted from the Normal node folder, but Master node not aware. No Out of Sync / Override changes on Master!",
,TypeError: Cannot read properties of null (reading 'status') in the GUI after killing Syncthing,
,Sync problems when changing folder case.,
,STGUIAPIKEY and friends is broken,
,cmd/syncthing: Automatic upgrade restart is broken since v0.14.21,
,Error while traversing,
,Start syncing before initial scan is complete,
,Support a better pattern for adding new nodes,
,add configuration / command line option to specify location of cert bundle,
,Syncing progress over 100%,
,0.12.12 Windows: invalid memory address or nil pointer dereference,
,.stversions and Windows User AppData Syncthing folder equals amazingly huge drive waste,
,Deadlock when adding folder,
,Reload configuration without restart,
,"Tests sometimes fail with ""WARNING: DATA RACE"" on v0.14.11",
,Crash on Android,
,FolderCompletion is not sent when connecting with delta index,
,Repetition of meanings,
,syncthing0.9.14/15 SIGILL: illegal instruction,
,Syncthing v0.10.29 (go1.4.2 windows-386 default) crashes,
,fsync errors when used on directories in Windows (due to being unsupported),
,leveldb/table: corruption on data-block (checksum mismatch),
,"Syncthing recreates the directories for deleted/missing ""Folders""",
,Windows zip file filename are weird,
,Relay stuff panics when disabled,
,A command line flag for disabling relay use would be really helpful!,
,Units of data rates and file sizes,
,"Automatic ""restart""",
,"""Failed Items"" dialogue doesn't allow you to select/copy the path of the failed item",
,"Syncthing creates a directory literally named ""~""",
,Lock encrypted folder for untrusted device,
,Files that change size but not modification time should be picked up as changed,
,Please create an issue,
,Massive logs,
,Improvement suggestion: file explorer integration,
,Route through TOR in-app for Windows,
,Segfault on Ubuntu x64,
,Could not to add repository to 0.10,
,Windows GUI is broken,
,[Feature Request] More complex ignore patterns,
,Fetch Download/Upload rate when page loads,
,"Android. Constant restarts, aborts",
,"Another ""No UPnP device detected""",
,browser hangs when restarting a remote sync server,
,Implement scheduling,
,Wrong status shown on gui,
,not translated string in /gui/syncthing/folder/editFolderModalView.html,
,deleted folders come back,
,Leveldb uses too much memory,
,issues when ignoring files with file name containing question mark,
,Missing translate entry on Transifex,
,Implement Electron web app for manage Syncthing settings,
,Panic Detected,
,puller: Moving file to directory of same name causes sync error,
,"Folder sync ""stalled"" due to ""no such file"" error",
,"Failed to build:  expected operand, found 'range'",
,How long should discovery take?,
,Files get emptied on Sync,
,Fs Watcher doesn't work if folder is a symlink,
,Setting password causes continuous restart of GUI server (bind: address already in use),
,local (LAN) / global (internet) choice per folder,
,Nil dereference panic in dialer,
,Pause with timer,
,panic when syncing large repo on samba share,
,Syncthing Version issue,
,Slow sync?,
,But I only want that one file! (bump sync priority rfe),
,Add file versioning,
,fatal error: runtime: cannot map pages in arena address space,
,Database rebuild causes trouble,
,GUI notif not available as string for localization,
,Support daemonisation,
,WebUI: Editing a folder after editing folder defaults broken.,
,"Spurious ""home disk is out of space""",
,json: cannot unmarshal array into Go struct field VersioningConfiguration.params of type,
,Removing pending folders is flaky,
,"""WiFi only"" should not depend on ""background/foreground"" and should be turned on by default",
,Number of digits after point,
,Settings is blank,
,Indication about locally added items in web UI,
,Can't syncthing within different platforms,
,Add Email notifications with secure email config,
,Alt tags for labels?,
,Feature add auto device id,
,LXLE (which bundles Syncthing & Syncthing-GTK): should be a way to disable starting up on login,
,"Folder deletion is not synced, if folder contains ignored files.",
,Decoding posted config: “undefined”: device ID invalid: incorrect length,
,syncthing trashes permissions on homedir,
,Translation variables broken on IE,
,French translation,
,Can't connect two devices,
,Some usage reporting stats missing since June 2020,
,"Syncthing exits with ""Illegal instruction"" on ARMv5",
,Versions Path setting not working,
,"Stopping folder ""cv2d3-pzjRv"" - folder marker missing",
,UPnP discovery takes into account all UPnP devices,
,New metalinter issue,
,GUI calls repoRefresh continuously (and profiling on OSX fails),
,Phython script ImportError on start up,
,Syncthing says that my device is disconnected,
,"TestRequest failure on FreeBSD (""file is invalid"")",
,expose cpu load limit parameter in the web gui,
,Wrong display behavior with long filenames in sync modal,
,Improve gui favicon status,
,Staggered ver: WARNING: versioner: lstat … no such file or directory,
,Don't fail dirs in receive-only folders that were removed elsewhere but exist locally,
,-home flag value ignored at first run; but not at subsequent runs,
,ignoreDelete from a device,
,22:34:01: EOF in gui log (0.9-beta3),
,Active connections min/max setting,
,Failed to parse connection url: hexadecimal escape in host,
,logfile rotation,
,Deleting files causing issues,
,Default path points to a non-existing /tmp/syncthing/ and more newbie issues,
,relaysrv: out-of-date releases?,
,Automatically Ignore Files To Review Later,
,Auto-upgrade broken on FreeBSD,
,Cleanup temp files during scan,
,User options for how deleted files/folders are handled.,
,"Too slow session start through relay, and host connected to relay via internet instead local network",
,"Devices keep reappearing when using ""Introducer"" devices",
,Pull: no available source device after changing capitalization of a file name,
,"After updating to version 0.13.0, CPU usage increased significantly",
,"Folder up to date, machine out of sync, temp files exists.",
,Behavior of discovery server doesn't match documentation,
,GUI accessibility : polish Folder & Device creation popups,
,"""Move to top of queue"" buttons don't appear on every file",
,Connection closing deadlocks on send error,
,"File addition to sender host does not update ""Global State"" until browser refresh",
,"Change name from ""Open Source Continuous File Synchronization"" to ""Syncthing"" in Windows Firewall",
,Save button not enabled when adding a share,
,Fail to create UPnP port mapping in 0.10.3-0.10.4,
,Allow file & file versions browsing over WebUI,
,Watcher fails due to filepath.EvalSymlinks error (FindFirstFile),
,Incorrect sync percentage,
,Build failure on master/OpenBSD.,
,Failure to fsync() files should not be fatal,
